order_id,quantity,date,price,pizza_type_id
1,1,2015-01-01,13.25,hawaiian
2,1,2015-01-01,16,classic_dlx
2,1,2015-01-01,18.5,five_cheese
2,1,2015-01-01,20.75,ital_supr
2,1,2015-01-01,16,mexicana
2,1,2015-01-01,20.75,thai_ckn
3,1,2015-01-01,16.5,ital_supr
3,1,2015-01-01,20.75,prsc_argla
4,1,2015-01-01,16.5,ital_supr
5,1,2015-01-01,16.5,ital_supr
6,1,2015-01-01,12.75,bbq_ckn
6,1,2015-01-01,12,the_greek
7,1,2015-01-01,12.5,spinach_supr
8,1,2015-01-01,12.5,spinach_supr
9,1,2015-01-01,12,classic_dlx
9,1,2015-01-01,12,green_garden
9,1,2015-01-01,20.5,ital_cpcllo
9,1,2015-01-01,20.75,ital_supr
9,1,2015-01-01,12.5,ital_supr
9,1,2015-01-01,12,mexicana
9,1,2015-01-01,20.75,spicy_ital
9,1,2015-01-01,20.75,spin_pesto
9,1,2015-01-01,12,veggie_veg
10,1,2015-01-01,20.25,mexicana
10,1,2015-01-01,20.75,southw_ckn
11,1,2015-01-01,20.75,bbq_ckn
11,1,2015-01-01,20.75,cali_ckn
11,1,2015-01-01,16.75,cali_ckn
11,1,2015-01-01,15.25,pepperoni
12,1,2015-01-01,20.75,cali_ckn
12,1,2015-01-01,12.75,cali_ckn
12,1,2015-01-01,20.75,ckn_pesto
12,1,2015-01-01,16.5,ital_supr
13,1,2015-01-01,20.25,mexicana
14,1,2015-01-01,12,the_greek
15,1,2015-01-01,12,big_meat
15,1,2015-01-01,18.5,five_cheese
15,1,2015-01-01,20.75,soppressata
15,1,2015-01-01,12,the_greek
16,1,2015-01-01,17.950000762939453,four_cheese
16,1,2015-01-01,12,napolitana
16,1,2015-01-01,20.75,thai_ckn
17,1,2015-01-01,20.75,bbq_ckn
17,1,2015-01-01,16.25,calabrese
17,1,2015-01-01,18.5,five_cheese
17,1,2015-01-01,14.75,four_cheese
17,1,2015-01-01,16.5,ital_supr
17,1,2015-01-01,12.75,ital_veggie
17,2,2015-01-01,16,mediterraneo
17,1,2015-01-01,20.25,mexicana
17,1,2015-01-01,12.5,peppr_salami
17,1,2015-01-01,20.25,spinach_fet
18,1,2015-01-01,20.5,napolitana
19,1,2015-01-01,20.5,ital_cpcllo
19,1,2015-01-01,20.25,sicilian
20,1,2015-01-01,12,big_meat
20,1,2015-01-01,18.5,five_cheese
21,1,2015-01-01,20.5,ital_cpcllo
22,1,2015-01-01,18.5,five_cheese
22,1,2015-01-01,16,ital_cpcllo
22,1,2015-01-01,20.75,southw_ckn
23,1,2015-01-01,12.75,southw_ckn
24,1,2015-01-01,16.75,bbq_ckn
